"timeMillisSpent","score"
0,"-15hard/25soft"
0,"-14hard/41soft"
0,"-14hard/49soft"
0,"-14hard/50soft"
0,"-14hard/55soft"
0,"-13hard/74soft"
0,"-13hard/83soft"
0,"-13hard/86soft"
0,"-13hard/89soft"
0,"-12hard/107soft"
15,"-11hard/115soft"
15,"-11hard/120soft"
15,"-11hard/123soft"
15,"-11hard/126soft"
15,"-11hard/135soft"
15,"-11hard/138soft"
46,"-10hard/117soft"
46,"-10hard/120soft"
46,"-10hard/123soft"
46,"-10hard/145soft"
46,"-10hard/151soft"
62,"-10hard/154soft"
62,"-10hard/160soft"
62,"-10hard/163soft"
62,"-10hard/166soft"
78,"-9hard/117soft"
78,"-9hard/120soft"
78,"-9hard/129soft"
78,"-9hard/135soft"
78,"-9hard/137soft"
78,"-9hard/145soft"
78,"-9hard/148soft"
78,"-9hard/154soft"
93,"-9hard/170soft"
93,"-9hard/177soft"
93,"-9hard/178soft"
93,"-9hard/182soft"
93,"-9hard/185soft"
93,"-9hard/188soft"
93,"-8hard/199soft"
93,"-8hard/205soft"
