"timeMillisSpent","score"
0,"-50hard/0soft"
0,"-49hard/10soft"
0,"-48hard/20soft"
0,"-47hard/30soft"
0,"-46hard/40soft"
0,"-45hard/50soft"
0,"-44hard/60soft"
15,"-43hard/69soft"
15,"-42hard/78soft"
15,"-41hard/86soft"
15,"-40hard/95soft"
15,"-39hard/103soft"
15,"-38hard/111soft"
15,"-37hard/119soft"
15,"-36hard/127soft"
31,"-35hard/135soft"
31,"-34hard/143soft"
31,"-33hard/151soft"
31,"-32hard/159soft"
31,"-31hard/167soft"
31,"-30hard/175soft"
46,"-29hard/183soft"
46,"-28hard/191soft"
46,"-27hard/198soft"
46,"-26hard/206soft"
62,"-25hard/214soft"
93,"-24hard/222soft"
93,"-23hard/230soft"
93,"-22hard/237soft"
109,"-21hard/244soft"
109,"-20hard/251soft"
109,"-19hard/259soft"
124,"-18hard/266soft"
124,"-17hard/273soft"
140,"-16hard/280soft"
140,"-15hard/287soft"
140,"-14hard/294soft"
156,"-13hard/300soft"
156,"-12hard/306soft"
171,"-11hard/312soft"
171,"-10hard/319soft"
171,"-9hard/325soft"
187,"-8hard/331soft"
187,"-7hard/337soft"
202,"-6hard/342soft"
202,"-5hard/346soft"
218,"-4hard/350soft"
218,"-3hard/355soft"
234,"-2hard/357soft"
5288,"-2hard/358soft"
