"timeMillisSpent","score"
0,"-25hard/15soft"
0,"-24hard/26soft"
0,"-24hard/31soft"
0,"-24hard/32soft"
0,"-24hard/33soft"
0,"-24hard/35soft"
0,"-23hard/46soft"
0,"-23hard/52soft"
0,"-23hard/53soft"
0,"-23hard/55soft"
0,"-22hard/65soft"
0,"-22hard/68soft"
0,"-22hard/69soft"
0,"-22hard/71soft"
0,"-21hard/78soft"
0,"-21hard/80soft"
0,"-21hard/81soft"
0,"-21hard/82soft"
0,"-21hard/83soft"
0,"-21hard/85soft"
0,"-21hard/87soft"
0,"-21hard/88soft"
0,"-21hard/89soft"
0,"-20hard/98soft"
0,"-20hard/100soft"
0,"-20hard/101soft"
0,"-20hard/102soft"
0,"-20hard/103soft"
16,"-20hard/104soft"
16,"-20hard/105soft"
16,"-19hard/115soft"
16,"-19hard/117soft"
16,"-19hard/118soft"
16,"-19hard/119soft"
16,"-19hard/120soft"
16,"-19hard/121soft"
16,"-18hard/126soft"
16,"-18hard/128soft"
16,"-18hard/129soft"
16,"-18hard/130soft"
16,"-18hard/131soft"
16,"-18hard/133soft"
78,"-18hard/134soft"
78,"-18hard/135soft"
203,"-17hard/136soft"
203,"-17hard/137soft"
203,"-17hard/138soft"
203,"-17hard/139soft"
203,"-17hard/140soft"
203,"-17hard/141soft"
203,"-17hard/142soft"
203,"-17hard/144soft"
1794,"-17hard/148soft"
1919,"-17hard/149soft"
3963,"-16hard/148soft"
3963,"-16hard/151soft"
3963,"-16hard/152soft"
3963,"-16hard/154soft"
3963,"-16hard/155soft"
3963,"-16hard/157soft"
3963,"-16hard/158soft"
3963,"-16hard/159soft"
17191,"-16hard/160soft"
17191,"-16hard/162soft"
17191,"-16hard/163soft"
17971,"-16hard/164soft"
23447,"-15hard/170soft"
23447,"-15hard/171soft"
23447,"-15hard/172soft"
23447,"-15hard/173soft"
23463,"-15hard/174soft"
23463,"-15hard/175soft"
49000,"-15hard/179soft"
49000,"-15hard/180soft"
68562,"-14hard/189soft"
68562,"-14hard/190soft"
110433,"-14hard/194soft"
110433,"-14hard/195soft"
111150,"-14hard/196soft"
166156,"-13hard/200soft"
166156,"-13hard/204soft"
166156,"-13hard/205soft"
166156,"-13hard/206soft"
166156,"-13hard/207soft"
251192,"-13hard/210soft"
251192,"-13hard/211soft"
251207,"-13hard/212soft"
342171,"-12hard/220soft"
342171,"-12hard/221soft"
342202,"-12hard/222soft"
475614,"-12hard/224soft"
475614,"-12hard/225soft"
569230,"-12hard/226soft"
569245,"-12hard/227soft"
673968,"-11hard/234soft"
811685,"-11hard/235soft"
949246,"-11hard/237soft"
949246,"-11hard/238soft"
1046091,"-11hard/239soft"
1177833,"-10hard/248soft"
1177849,"-10hard/249soft"
1342694,"-10hard/252soft"
1344021,"-10hard/253soft"
1480770,"-10hard/254soft"
1620016,"-9hard/248soft"
1620032,"-9hard/249soft"
1797435,"-9hard/252soft"
1971797,"-9hard/253soft"
2146580,"-9hard/264soft"
2146580,"-8hard/274soft"
2146595,"-8hard/277soft"
2146595,"-8hard/278soft"
2146595,"-8hard/279soft"
2298446,"-8hard/282soft"
2298477,"-8hard/283soft"
2441498,"-8hard/284soft"
2589012,"-7hard/293soft"
2615797,"-7hard/294soft"
2770893,"-7hard/296soft"
2772484,"-7hard/297soft"
2913617,"-7hard/298soft"
3055827,"-6hard/308soft"
3213263,"-6hard/312soft"
3386579,"-5hard/317soft"
3388061,"-5hard/321soft"
3488915,"-5hard/324soft"
3488915,"-5hard/325soft"
3622685,"-4hard/335soft"
3624308,"-4hard/338soft"
3624308,"-3hard/333soft"
3782523,"-3hard/349soft"
3782523,"-2hard/358soft"
3782523,"-2hard/359soft"
3782523,"-1hard/363soft"
3782523,"0hard/362soft"
3782523,"0hard/363soft"
3782632,"0hard/364soft"
