"timeMillisSpent","score"
0,"-15hard/25soft"
0,"-14hard/41soft"
0,"-14hard/49soft"
0,"-14hard/50soft"
0,"-14hard/55soft"
0,"-13hard/74soft"
0,"-13hard/83soft"
0,"-13hard/86soft"
0,"-13hard/89soft"
0,"-12hard/107soft"
0,"-12hard/116soft"
0,"-12hard/119soft"
0,"-11hard/132soft"
0,"-11hard/141soft"
0,"-11hard/143soft"
0,"-10hard/159soft"
0,"-10hard/165soft"
0,"-10hard/168soft"
0,"-9hard/159soft"
0,"-9hard/168soft"
0,"-9hard/181soft"
0,"-9hard/182soft"
0,"-9hard/183soft"
0,"-8hard/205soft"
0,"-8hard/208soft"
0,"-8hard/210soft"
0,"-8hard/219soft"
0,"-7hard/236soft"
0,"-7hard/242soft"
0,"-7hard/243soft"
0,"-7hard/244soft"
0,"-6hard/258soft"
0,"-6hard/264soft"
0,"-6hard/265soft"
0,"-6hard/266soft"
0,"-6hard/267soft"
0,"-5hard/284soft"
0,"-5hard/290soft"
0,"-5hard/292soft"
16,"-4hard/306soft"
16,"-4hard/311soft"
16,"-4hard/312soft"
16,"-4hard/313soft"
16,"-3hard/326soft"
16,"-3hard/327soft"
16,"-3hard/328soft"
16,"-3hard/329soft"
16,"-3hard/335soft"
16,"-2hard/351soft"
16,"-2hard/352soft"
16,"-2hard/358soft"
16,"-1hard/372soft"
16,"0hard/349soft"
31,"0hard/369soft"
31,"0hard/372soft"
31,"0hard/373soft"
