"timeMillisSpent","score"
0,"-50hard/0soft"
0,"-49hard/10soft"
0,"-48hard/20soft"
0,"-47hard/30soft"
0,"-46hard/40soft"
0,"-45hard/50soft"
0,"-44hard/60soft"
0,"-43hard/69soft"
0,"-42hard/78soft"
15,"-41hard/86soft"
15,"-40hard/94soft"
15,"-39hard/102soft"
15,"-38hard/110soft"
15,"-37hard/118soft"
15,"-36hard/126soft"
15,"-35hard/133soft"
15,"-34hard/141soft"
15,"-33hard/148soft"
31,"-32hard/155soft"
31,"-31hard/163soft"
31,"-30hard/170soft"
31,"-29hard/178soft"
31,"-28hard/185soft"
31,"-27hard/192soft"
31,"-26hard/200soft"
46,"-25hard/207soft"
46,"-24hard/213soft"
46,"-23hard/220soft"
46,"-22hard/227soft"
